t	in	out	motor
5914.0	71.78	71.05	75.76
5916.0	71.84	71.01	76.83
5918.0	71.92	70.97	77.97
5920.0	72.02	70.94	79.10
5922.0	72.13	70.92	80.18
5924.0	72.25	70.91	81.16
5926.0	72.36	70.91	82.03
5928.0	72.47	70.92	82.80
5930.0	72.57	70.93	83.47
5932.0	72.67	70.96	84.06
5934.0	72.76	70.99	84.56
5936.0	72.85	71.03	85.00
5938.0	72.93	71.07	85.38
5940.0	73.01	71.12	85.71
5942.0	73.07	71.17	85.21
5944.0	73.08	71.22	84.44
5946.0	73.06	71.28	83.59
5948.0	73.02	71.33	82.76
5950.0	72.96	71.38	81.96
5952.0	72.90	71.42	81.24
5954.0	72.85	71.45	80.59
5956.0	72.79	71.47	80.02
5958.0	72.74	71.49	79.51
5960.0	72.69	71.51	79.07
5962.0	72.65	71.51	78.68
5964.0	72.60	71.51	78.35
5966.0	72.57	71.51	78.06
5968.0	72.53	71.50	77.81
5970.0	72.49	71.49	77.59
5972.0	72.47	71.48	77.72
5974.0	72.47	71.46	78.02
5976.0	72.48	71.45	78.41
5978.0	72.51	71.43	78.85
5980.0	72.55	71.42	79.30
5982.0	72.59	71.41	79.73
5984.0	72.64	71.40	80.14
5986.0	72.68	71.40	80.50
5988.0	72.73	71.40	80.82
5990.0	72.77	71.41	81.11
5992.0	72.81	71.41	81.36
5994.0	72.85	71.42	81.58
5996.0	72.88	71.44	81.77
5998.0	72.92	71.45	81.93
6000.0	72.95	71.47	82.07
6002.0	72.97	71.49	81.65
6004.0	72.95	71.51	81.10
6006.0	72.92	71.53	80.53
6008.0	72.88	71.55	79.97
6010.0	72.82	71.56	79.44
6012.0	72.77	71.57	78.96
6014.0	72.71	71.58	78.53
6016.0	72.66	71.58	78.14
6018.0	72.61	71.58	77.80
6020.0	72.56	71.57	77.50
6022.0	72.52	71.55	77.24
6024.0	72.48	71.54	77.01
6026.0	72.44	71.52	76.81
6028.0	72.40	71.50	76.63
6030.0	72.36	71.48	76.48
6032.0	72.33	71.45	76.54
6034.0	72.31	71.43	76.64
6036.0	72.29	71.40	76.75
6038.0	72.28	71.37	76.87
6040.0	72.28	71.35	76.99
6042.0	72.27	71.33	77.10
6044.0	72.26	71.30	77.20
6046.0	72.26	71.28	77.29
6048.0	72.25	71.26	77.37
6050.0	72.24	71.24	77.44
6052.0	72.23	71.22	77.49
6054.0	72.23	71.21	77.54
6056.0	72.22	71.19	77.58
6058.0	72.21	71.17	77.61
6060.0	72.20	71.16	77.63
6062.0	72.20	71.14	78.11
6064.0	72.23	71.13	78.66
6066.0	72.27	71.12	79.23
6068.0	72.32	71.11	79.79
6070.0	72.38	71.11	80.31
6072.0	72.44	71.11	80.78
6074.0	72.50	71.11	81.20
6076.0	72.55	71.12	81.58
6078.0	72.61	71.13	81.91
6080.0	72.66	71.15	82.19
6082.0	72.71	71.17	82.44
6084.0	72.76	71.19	82.66
6086.0	72.80	71.22	82.85
6088.0	72.85	71.25	83.01
6090.0	72.89	71.28	83.16
6092.0	72.92	71.31	82.65
6094.0	72.91	71.34	81.97
6096.0	72.87	71.37	81.23
6098.0	72.82	71.40	80.51
6100.0	72.76	71.42	79.84
6102.0	72.69	71.44	79.22
6104.0	72.63	71.45	78.65
6106.0	72.57	71.46	78.15
6108.0	72.51	71.46	77.71
6110.0	72.45	71.45	77.31
6112.0	72.39	71.44	76.97
6114.0	72.34	71.43	76.66
6116.0	72.29	71.41	76.39
6118.0	72.25	71.39	76.16
6120.0	72.20	71.36	75.95
6122.0	72.15	71.34	75.54
6124.0	72.09	71.31	75.15
6126.0	72.02	71.28	74.77
6128.0	71.95	71.24	74.42
6130.0	71.88	71.20	74.10
6132.0	71.80	71.16	73.81
6134.0	71.73	71.12	73.54
6136.0	71.66	71.08	73.29
6138.0	71.59	71.03	73.06
6140.0	71.53	70.98	72.86
6142.0	71.46	70.93	72.67
6144.0	71.39	70.88	72.50
6146.0	71.32	70.82	72.34
6148.0	71.26	70.77	72.19
6150.0	71.19	70.71	72.05
6152.0	71.13	70.65	71.92
6154.0	71.06	70.60	71.80
6156.0	70.99	70.54	71.68
6158.0	70.93	70.48	71.56
6160.0	70.86	70.42	71.45
6162.0	70.80	70.36	71.34
6164.0	70.73	70.30	71.24
6166.0	70.67	70.24	71.14
6168.0	70.60	70.18	71.05
6170.0	70.54	70.12	70.96
6172.0	70.47	70.05	70.88
6174.0	70.41	69.99	70.80
6176.0	70.34	69.93	70.72
6178.0	70.28	69.87	70.64
6180.0	70.22	69.81	70.57
6182.0	70.15	69.74	70.51
6184.0	70.09	69.68	70.45
6186.0	70.03	69.62	70.39
6188.0	69.97	69.56	70.33
6190.0	69.90	69.50	70.28
6192.0	69.84	69.43	70.22
6194.0	69.78	69.37	70.16
6196.0	69.72	69.31	70.10
6198.0	69.66	69.25	70.04
6200.0	69.60	69.19	69.98
6202.0	69.54	69.13	69.92
6204.0	69.47	69.07	69.86
6206.0	69.41	69.00	69.80
6208.0	69.35	68.94	69.74
6210.0	69.29	68.88	69.68
6212.0	69.25	68.82	70.36
6214.0	69.25	68.76	71.10
6216.0	69.28	68.71	71.97
6218.0	69.32	68.65	72.96
6220.0	69.39	68.61	74.01
6222.0	69.48	68.57	75.07
6224.0	69.57	68.54	76.09
6226.0	69.67	68.52	77.03
6228.0	69.76	68.50	77.87
6230.0	69.85	68.50	78.62
6232.0	69.94	68.51	79.28
6234.0	70.03	68.52	79.85
6236.0	70.11	68.54	80.35
6238.0	70.18	68.57	80.78
6240.0	70.26	68.60	81.15
6242.0	70.31	68.63	80.74
6244.0	70.32	68.67	80.11
6246.0	70.30	68.71	79.42
6248.0	70.26	68.75	78.73
6250.0	70.21	68.79	78.07
6252.0	70.15	68.82	77.48
6254.0	70.10	68.84	76.94
6256.0	70.05	68.86	76.46
6258.0	70.00	68.87	76.03
6260.0	69.96	68.88	75.66
6262.0	69.92	68.88	75.34
6264.0	69.88	68.88	75.05
6266.0	69.84	68.87	74.81
6268.0	69.81	68.86	74.59
6270.0	69.78	68.85	74.41
6272.0	69.73	68.83	73.96
6274.0	69.68	68.82	73.48
6276.0	69.62	68.80	73.01
6278.0	69.55	68.77	72.56
6280.0	69.47	68.75	72.15
6282.0	69.40	68.72	71.76
6284.0	69.33	68.69	71.41
6286.0	69.25	68.65	71.09
6288.0	69.18	68.61	70.80
6290.0	69.11	68.57	70.54
6292.0	69.04	68.52	70.30
6294.0	68.98	68.48	70.09
6296.0	68.91	68.43	69.89
6298.0	68.84	68.38	69.71
6300.0	68.78	68.32	69.55
6302.0	68.72	68.27	69.56
6304.0	68.67	68.22	69.59
6306.0	68.62	68.16	69.65
6308.0	68.58	68.11	69.75
6310.0	68.54	68.05	69.87
6312.0	68.51	68.00	70.01
6314.0	68.48	67.95	70.16
6316.0	68.45	67.90	70.32
6318.0	68.43	67.85	70.48
6320.0	68.40	67.80	70.63
6322.0	68.38	67.76	70.77
6324.0	68.36	67.71	70.90
6326.0	68.34	67.67	71.02
6328.0	68.32	67.63	71.12
6330.0	68.29	67.59	71.20
6332.0	68.30	67.56	72.17
6334.0	68.35	67.53	73.30
6336.0	68.43	67.50	74.50
6338.0	68.54	67.47	75.69
6340.0	68.66	67.46	76.81
6342.0	68.78	67.45	77.83
6344.0	68.90	67.46	78.74
6346.0	69.02	67.47	79.55
6348.0	69.13	67.49	80.26
6350.0	69.24	67.52	80.87
6352.0	69.34	67.56	81.40
6354.0	69.43	67.61	81.86
6356.0	69.53	67.66	82.26
6358.0	69.62	67.71	82.61
6360.0	69.70	67.77	82.92
6362.0	69.78	67.83	82.66
6364.0	69.82	67.90	82.20
6366.0	69.83	67.96	81.68
6368.0	69.83	68.03	81.16
6370.0	69.83	68.09	80.67
6372.0	69.82	68.14	80.22
6374.0	69.81	68.19	79.82
6376.0	69.80	68.24	79.48
6378.0	69.80	68.28	79.17
6380.0	69.80	68.32	78.92
6382.0	69.80	68.35	78.70
6384.0	69.80	68.38	78.52
6386.0	69.81	68.41	78.36
6388.0	69.81	68.44	78.24
6390.0	69.82	68.46	78.13
6392.0	69.82	68.48	77.74
6394.0	69.81	68.50	77.42
6396.0	69.80	68.52	77.16
6398.0	69.78	68.53	76.95
6400.0	69.77	68.54	76.77
6402.0	69.76	68.56	76.63
6404.0	69.75	68.56	76.51
6406.0	69.74	68.57	76.42
6408.0	69.74	68.58	76.34
6410.0	69.73	68.58	76.27
6412.0	69.73	68.58	76.22
6414.0	69.73	68.58	76.17
6416.0	69.72	68.59	76.13
6418.0	69.72	68.59	76.10
6420.0	69.72	68.59	76.07
6422.0	69.71	68.59	75.64
6424.0	69.67	68.59	75.02
6426.0	69.60	68.58	74.35
6428.0	69.53	68.58	73.69
6430.0	69.44	68.57	73.06
6432.0	69.36	68.55	72.48
6434.0	69.27	68.53	71.95
6436.0	69.19	68.51	71.48
6438.0	69.10	68.48	71.07
6440.0	69.02	68.44	70.70
6442.0	68.95	68.40	70.40
6444.0	68.88	68.36	70.14
6446.0	68.81	68.31	69.91
6448.0	68.74	68.27	69.71
6450.0	68.68	68.22	69.54
6452.0	68.63	68.16	70.11
6454.0	68.63	68.11	70.76
6456.0	68.65	68.06	71.55
6458.0	68.70	68.01	72.48
6460.0	68.76	67.97	73.50
6462.0	68.85	67.93	74.52
6464.0	68.94	67.90	75.51
6466.0	69.03	67.88	76.43
6468.0	69.13	67.87	77.25
6470.0	69.22	67.87	77.99
6472.0	69.31	67.88	78.63
6474.0	69.39	67.89	79.19
6476.0	69.47	67.91	79.68
6478.0	69.55	67.94	80.10
6480.0	69.62	67.97	80.46
6482.0	69.70	68.01	80.94
6484.0	69.77	68.05	81.33
6486.0	69.85	68.10	81.67
6488.0	69.93	68.14	81.96
6490.0	70.00	68.19	82.21
6492.0	70.08	68.24	82.43
6494.0	70.15	68.30	82.62
6496.0	70.22	68.36	82.79
6498.0	70.29	68.41	82.95
6500.0	70.35	68.47	83.08
6502.0	70.42	68.53	83.21
6504.0	70.49	68.59	83.33
6506.0	70.56	68.65	83.44
6508.0	70.62	68.72	83.54
6510.0	70.69	68.78	83.63
6512.0	70.74	68.84	83.09
6514.0	70.75	68.90	82.43
6516.0	70.75	68.96	81.73
6518.0	70.72	69.02	81.07
6520.0	70.70	69.07	80.46
6522.0	70.67	69.12	79.91
6524.0	70.64	69.16	79.43
6526.0	70.61	69.19	79.00
6528.0	70.59	69.22	78.63
6530.0	70.57	69.25	78.31
6532.0	70.55	69.27	78.04
6534.0	70.54	69.28	77.81
6536.0	70.53	69.30	77.61
6538.0	70.52	69.31	77.44
6540.0	70.51	69.31	77.30
6542.0	70.50	69.32	77.15
6544.0	70.49	69.32	77.07
6546.0	70.48	69.33	77.06
6548.0	70.48	69.33	77.08
6550.0	70.49	69.33	77.12
6552.0	70.49	69.33	77.16
6554.0	70.50	69.33	77.21
6556.0	70.51	69.33	77.27
6558.0	70.52	69.33	77.32
6560.0	70.52	69.33	77.36
6562.0	70.53	69.34	77.40
6564.0	70.54	69.34	77.44
6566.0	70.54	69.34	77.47
6568.0	70.55	69.34	77.50
6570.0	70.56	69.35	77.53
6572.0	70.58	69.35	78.08
6574.0	70.63	69.36	78.73
6576.0	70.69	69.36	79.41
6578.0	70.77	69.37	80.08
6580.0	70.86	69.39	80.69
6582.0	70.95	69.41	81.26
6584.0	71.03	69.43	81.76
6586.0	71.12	69.46	82.20
6588.0	71.20	69.49	82.59
6590.0	71.28	69.53	82.93
6592.0	71.35	69.57	83.23
6594.0	71.42	69.62	83.49
6596.0	71.49	69.67	83.72
6598.0	71.56	69.72	83.92
6600.0	71.63	69.77	84.10
6602.0	71.69	69.83	83.88
6604.0	71.72	69.88	83.51
6606.0	71.74	69.94	83.08
6608.0	71.74	69.99	82.66
6610.0	71.74	70.04	82.26
6612.0	71.74	70.09	81.89
6614.0	71.73	70.13	81.57
6616.0	71.73	70.17	81.29
6618.0	71.73	70.21	81.04
6620.0	71.73	70.24	80.83
6622.0	71.73	70.27	80.66
6624.0	71.74	70.30	80.51
6626.0	71.74	70.32	80.39
6628.0	71.75	70.35	80.28
6630.0	71.76	70.37	80.20
6632.0	71.77	70.39	80.35
6634.0	71.80	70.41	80.57
6636.0	71.84	70.42	80.84
6638.0	71.88	70.44	81.11
